[02/27/23 09:43:16] [INFO] received Windows console close event; shutting log-core down
[02/27/23 09:44:36] [INFO] received Windows console close event; shutting log-core down
[02/27/23 10:04:56] [INFO] received Windows console close event; shutting log-core down
[02/27/23 10:05:34] [INFO] received Windows console close event; shutting log-core down
[02/27/23 10:06:06] [INFO] received Windows console close event; shutting log-core down
[02/27/23 11:51:50] [INFO] received Windows console close event; shutting log-core down
[02/27/23 11:57:31] [INFO] received Windows console close event; shutting log-core down
[02/27/23 11:59:04] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:00:02] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:00:27] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:02:15] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:04:41] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:06:25] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:07:21] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:10:34] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:11:19] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:32:39] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:38:43] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:44:23] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:44:37] [INFO] received Windows console close event; shutting log-core down
[02/27/23 12:46:39] [INFO] received Windows console close event; shutting log-core down
[02/27/23 13:06:55] [INFO] received Windows console close event; shutting log-core down
[02/27/23 13:45:57] [INFO] received Windows console close event; shutting log-core down
[02/27/23 13:55:08] [INFO] received Windows console close event; shutting log-core down
[02/27/23 14:04:47] [INFO] received Windows console close event; shutting log-core down
[02/27/23 14:05:48] [INFO] received Windows console close event; shutting log-core down
[02/27/23 14:07:05] [INFO] received Windows console close event; shutting log-core down
[02/27/23 14:08:26] [INFO] received Windows console close event; shutting log-core down
[02/27/23 14:10:23] [INFO] received Windows console close event; shutting log-core down
[02/27/23 14:11:47] [INFO] received Windows console close event; shutting log-core down
[02/27/23 14:13:30] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:20:56] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:22:06] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:22:49] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:24:13] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:25:31] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:27:23] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:28:54] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:31:36] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:34:31] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:36:44] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:42:02] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:46:57] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:47:44] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:50:08] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:51:51] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:53:54] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:54:40] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:55:19] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:58:29] [INFO] received Windows console close event; shutting log-core down
[02/27/23 17:59:51] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:02:01] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:03:59] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:05:19] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:06:56] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:08:08] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:08:44] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:10:59] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:12:32] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:16:13] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:19:41] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:21:11] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:22:54] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:23:55] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:26:02] [INFO] received Windows console close event; shutting log-core down
[02/27/23 18:27:19] [INFO] received Windows console close event; shutting log-core down
[02/27/23 22:24:02] [INFO] received Windows console close event; shutting log-core down
[02/27/23 22:26:53] [INFO] received Windows console close event; shutting log-core down
[02/27/23 22:30:10] [INFO] received Windows console close event; shutting log-core down
[02/27/23 22:34:24] [INFO] received Windows console close event; shutting log-core down
[02/27/23 22:36:23] [INFO] received Windows console close event; shutting log-core down
